reviewId,Username,userImage,Review,Rating,Usefulness,reviewCreatedVersion,Date,Reply,Reply Date,
b570209e-4970-469b-bc01-9a644c655985,Igor Santos,https://play-lh.googleusercontent.com/a-/ALV-UjVOY2JeHTHnzCnZkuCiBxY_KXU9jp6mH-JTL5uvQqn5p41wB0IsNQ,"It can't find my USB Star TSP100IIIU, but the receipt designer is AMAZING! There's some small improvements to make, but it mostly feels like Microsoft Word for thermal printers 😂 in the end, I exported an image and printed with the Star Utility app. Good enough.",4,3,6.3.3,2024-10-15 22:34:13,,,6.3.3
2ce5fd5b-722e-4962-826c-9858b335d23d,aliu ojoare,https://play-lh.googleusercontent.com/a-/ALV-UjUJesau1xzYNJgp2Z6v6vnQ_qmqPzPP5epm1XIwu4kX21rY0wxD,"Great app, great job",5,0,6.3.3,2024-10-14 23:35:42,,,6.3.3
68c4f762-68e2-4bbd-b7bf-be52b259a8c8,Haniya Sultan,https://play-lh.googleusercontent.com/a/ACg8ocIUxVuLTlPL6NP8bePUIxzOVSYp-FgxPduWCKbbLLZM65gBMQ=mo,Very nice Excellent💯👍,5,0,6.3.3,2024-10-14 10:35:23,,,6.3.3
7c75d783-48b4-445a-b348-e6b7af7a7d62,Jr Alajas,https://play-lh.googleusercontent.com/a-/ALV-UjU6kZLNw1B4Td0pAEPTq5JFynszSzVDKCuKXkO7nJEgoX_LmUq_,Wew,5,0,6.3.4,2024-10-13 15:01:27,,,6.3.4
1d1c8147-05d4-4f31-b379-14231f2669b4,obalowu yunus obalowuyunus,https://play-lh.googleusercontent.com/a/ACg8ocJIXpzn63HVjTkyWRs5pspfihpZt5LKejmfVn3cMEscG-_PDw=mo,very good and works perfectly I love ❤️ it.,5,0,6.3.3,2024-10-10 17:23:22,,,6.3.3
c2e83429-9901-4b3c-89a5-8f938a1ea79b,Bawa Arora,https://play-lh.googleusercontent.com/a/ACg8ocIAIBXIS1f-UzpSa6w02z550peLeyy7lqvkF7VVT9BC1jiIGQ=mo,Good,5,0,,2024-10-08 19:54:22,,,
f63146e0-9baa-4b5c-9f60-9dbb4353f890,Vijay Ahirwar,https://play-lh.googleusercontent.com/a-/ALV-UjXDRd88c8exeSHtE0ntkmju41iVU0lHQ1d7a_y5ZzsDy-ZlKqMe,PARI AUTO PATRS VIJAY AHIRWAR,5,0,6.3.3,2024-10-08 17:48:05,,,6.3.3
f6a56adc-2492-48ce-9456-fe94baa326ca,luqman khan,https://play-lh.googleusercontent.com/a/ACg8ocLvZixayRaWJDzpKn6602kF1by9ZHd399ke3vKqTK35nfy4tw=mo,Best one,5,0,,2024-10-07 20:03:53,,,
7e176f05-2297-4b0c-8686-56742198bc14,Amit Singh,https://play-lh.googleusercontent.com/a-/ALV-UjWHYf2NKBQM63Kf-XV-hA4ELseTI3ySbGFANxwzy0PFPh0zrdXG,It's a wonderful app. Truly love it.,5,0,6.3.3,2024-10-06 11:01:01,,,6.3.3
cca82e3e-3c24-4dee-a6af-b3417273f556,Chris Brown,https://play-lh.googleusercontent.com/a/ACg8ocIi6zZbLXW91az_fSJGPwBzIa5RK49aD1DF-OJRWFWuwRc4NQ=mo,Can't print pdf even after watching the adverts,1,0,6.3.3,2024-10-04 18:15:05,,,6.3.3
